Title,Year,Abstract
The Relationship Between Parenting Styles Practiced By Grandparents And Children's Emotional And Behavioral Problems,2019,"ObjectivesTo examine the relationship between grand  and grand's emotions and behaviors, while controlling for  , and to compare the effects of grand  and   on 's behavioral problems in China.MethodsA sample of 765 , with a mean age of 12.02 years (SD=0.38), participated in this cross-sectional  in Jintan city, Jiangsu province, China. All participants completed the self-report measures of emotions and behaviors, grand , and sociodemographic variables.ResultsResults showed that the well-recognized   (Care, Indifference, Overprotection, and Autonomy), when implemented by grands (grand ) and s ( ), had different patterns of effects on 's emotional and behavioral problems. Grand , especially grandal Care and Overprotection, were positively related to emotional and behavioral problems, while al Care was negatively related to 's externalizing behaviors.ConclusionsThese  highlight the importance of grand  in grand's development. Practitioners working with grands and grand need to recognize the complexity of grand-grand relationships and implement suitable interventions to meet the family needs."
Parenting Style as a Moderator of Associations Between Maternal Disciplinary Strategies and Child Well-Being,2008,"The authors investigate whether al use of punitive discipline and yielding to coercion varies in levels and associated  outcomes for mothers with different  . Participants were fourth-grade  (N = 370) and their mothers. Maternal   was determined based on levels of responsiveness and demandingness. Authoritative mothers used less punitive discipline than indifferent mothers. Authoritative and authoritarian mothers engaged in less yielding to coercion than indifferent or indulgent mothers. More punitive discipline and yielding to coercion were associated with lower academic grades and more punitive discipline was associated with more social problems, with these effects not moderated by  . Negative effects of yielding to coercion in terms of internalizing, externalizing, and social problems were observed only within authoritarian families. Greater use of punitive discipline was associated with more externalizing problems within the indulgent and authoritarian   groups and more internalizing problems within the authoritarian group."
"Mothers' and fathers' parenting styles and associations with toddlers' externalizing, internalizing, and adaptive behaviors",2012,"The two primary objectives of the   were to (a) investigate mothers' and fathers' reports of their own as well as their partner's  , and (b) assess how mothers' and fathers'   uniquely and jointly predicted toddlers' externalizing, internalizing, and adaptive behaviors. Fifty-nine mothers and fathers independently completed the  Styles and Dimension Questionnaire (PDSQ; Robinson, Mandleco, Olsen, & Hart, 2001) and the Behavior Assessment Scale for Children-2 (BASC-2; Reynolds & Kamphaus, 2004). s' self-reports of their   were positively correlated with each other for all three   (authoritative, authoritarian, and permissive). Comparisons between s' reports of their partner's  with that of the partner's self-reports were positively and moderately correlated for all three  . Findings revealed mothers' and fathers' self-reported   explained 44% of the variance in youngsters' externalizing behaviors. In particular, permissive  by mothers and authoritarian  by fathers uniquely and significantly predicted toddlers' externalizing behaviors, while authoritative paternal  was predictive of adaptive behaviors. (C) 2011 Elsevier Inc. All rights reserved."
Effects of perceived parenting styles and mental health on drinking behaviors,2020,"This  focused on the effects of  , as perceived by the college student, on drinking behaviors. A total of 36 students between the ages of 18 and 34 were recruited from a small liberal-arts college. Four surveys were counterbalanced and administered: 1) Perceived  Styles, 2) Drinking Behaviors, 3) Mental Health, and 4) Multiple Affect Adjective Check List (MAACL). Findings showed that problem drinking was strongly correlated with mental health concerns, such as depression, anxiety, hostility, and confusion. al trust and support were shown to be correlated to mental health, and there was a significant association between problem drinking and al trust and rules. These findings suggest that perceived   impact later socioemotional functioning and drinking behaviors. Therefore, future  is warranted on the topic, particularly as it relates to how individuals perceive  , the degree of subsequent risk-taking behaviors, and how these may differ on larger campuses. Targeting s with education and early intervention should be explored while  accounting for implications, such as early environmental stressors, whether or not mental health concerns are predecessors or sequelae of perceived  , and how the order of events may impact subsequent drinking behaviors."
Parenting styles and preschool 's behaviour in a Saudi Arabian postgraduate dental setting,2021,"Background The   is shifting universally. Children lack the skills needed to deal with life stressful situations like those  in dental setting. Previous studies showed a correlation between   and the 's dental behaviour. No studies have been performed in the Kingdom of Saudi Arabia (KSA) to relate   to 's dental behaviour. The purpose of this  is to correlate   with the dental behaviour of their , in Riyadh, KSA. Methodology Two hundred and eighty-two healthy preschool  aged 3-6 years were recruited in their first dental visit, to a postgraduate Paediatric Dentistry Clinics of the Dental University Hospital at KSU, Riyadh, KSA. The  Styles and Dimensions Questionnaire was completed by the primary caregiver/s. The behaviour of the  was evaluated after dental prophylaxis and fluoride application in the dental chair using Frankl behavior rating scale. Family and  demographic data were evaluated through a questionnaire. Results Two hundred and eighty-two healthy Saudi  participated in the  with their s. Two   were identified among Saudi s including authoritative (94%, n = 265) and permissive   (6%, n = 17). Most of the  behaved positively (n = 205, 72.7%). Significant correlations were detected between   and 's dental anxiety (P value 0.02) but not significantly correlated to a 's dental behaviuor. Conclusion In the KSU sample studied, two   were identified among Saudi s, authoritative and permissive  .   was correlated to al dental anxiety and had an influence on a 's dental behaviour. Clinically, interesting correlations were identified regarding factors affecting /s first dental visit behaviour."
ADOLESCENT'S PERSONALITY THROUGH BIG FIVE MODEL: THE RELATION WITH PARENTING STYLES,2017,"The paper deals with the   and their influence on the personality dimensions of the adolescent. Certain  and certain educational practices enhance the personality characteristics of the  at different levels. Personality dimensions were examined using the Big Five model, specifically the NEO FFI questionnaire. The   were examined using a DZSVR questionnaire which identifies four basic educational : autocratic, liberal, integrative and indifferent, based on level of component of requirements and freedom. On a sample of 402 adolescents, we found that there is a strong correlation between   and adolescents personality dimensions, and we found differences in personality dimension between  groups ( ). An integrative and liberal   support the personality dimensions as the consciousness, extraversion and openness, while autocratic and indifferent   support the neuroticism."
"Parenting style, social interaction anxiety, and problematic internet use among students",,"Our  examined the roles of   and social interaction anxiety in problematic internet use (PIU) in a sample of Nigerian undergraduate students (n = 300; female = 63.3%; mean age = 19.66 years, SD = 2.64 years). The students completed the  Style Inventory II (PS-II), the Social Interaction Anxiety Scale, and the Generalised Problematic Internet Use Scale 2. Following regression analysis,  showed authoritative  to predict lower PIU among the students, while permissive  predicted higher PIU among the students. Social interaction anxiety predicted higher PIU and mediated the relationship between the   and PIU, decreasing PIU among female students but not for the male students. Gendered   influences PIU through social anxiety. These findings suggest a need for gender sensitive PIU interventions in Nigerian patriarchal culture."
Parenting styles and types: Breastfeeding attitudes in a large sample of mothers,2021,"Objective: The importance of breastfeeding for both maternal and infant health is well established. However, it remains the case that only a small percentage of infants are breastfed after the first six months of life. Maternal negative breastfeeding attitudes are associated with a reduced likelihood of breastfeeding an infant, but they are a malleable target for practitioner interventions. By adjusting perceptions, and therefore behaviours within the population, maternal and infant health outcomes may be improved. As such, it is important to understand whether certain types of mother might feel more negatively about breastfeeding. Here. we investigated the relationships between  , personality traits, and breastfeeding attitudes. In addition, we aimed to address the interrelated nature of   by identifying 'types' of mother who may feel more negatively about breastfeeding. Design: A cross-sectional survey was used in order to measure  , personality traits, and attitudes to breastfeeding. Participants: A sample of 1,347 mothers (age M = 31.4 years, SD = 7.4 years) participated. Recruitment took place through online mother and baby groups based predominantly in the United Kingdom. Results: More permissive and less uninvolved mothers felt positively about breastfeeding, but limited associations between personality factors and breastfeeding attitudes were found. We applied a cluster analytical approach to investigate whether there were particular 'types' of mothers in our sample, and if these showed systematic differences. Our analyses revealed two profiles, best described as 'high nurturance' (high scoring on authoritative and permissive) and 'low nurturance' (low scoring on these dimensions). These two types of mother showed significant differences along all four  , and our 'high nurturance' type was more conscientious and emotionally stable, and felt more positively about breastfeeding. Conclusions:   were associated with breastfeeding attitudes. Through identifying an underlying nurturance dimension that best explains differences in   across mothers, we provide a potential avenue to improving breastfeeding attitudes. By focussing on 'low nurturance' mothers in particular, professionals may be able to provide interventions to improve breastfeeding attitudes and, as a , address low rates of breastfeeding in the UK."
Parenting styles and Internet use,2017,"The Internet has become the most popular way for young people to communicate with one another. Recent data indicate that 95% of students have Internet access. This  examined the links between Internet use and the   that shape - interactions. Empirical analysis showed that Internet use accounts for the majority of adolescents' leisure time. The neglecting   has the strongest relationship with addictive Internet use by adolescent girls and boys. For boys, addictive Internet use is  related to a combination of different   ing from inconsistencies and contradictions between s."
Child self-esteem and different parenting styles of mothers: a cross-sectional study,2017,"Aims: Several factors affect the formation of self-esteem in , but given the importance of alattitudes and educational practices in the development of a sense of self-worth in , the   was designed to investigate the relationship between   and self-esteem in . Materials and Methods: Thepopulation of this cross-sectional, descriptive  included primary school  of Zahedan cityduring 2013-2014. The data collection tools used were Coopersmith Self-Esteem Inventory and Diana Baumrind  Style Inventory. Indicators such as the mean, standard deviation and frequency were used to describe data, and a multivariate regression test, Pearson correlation coefficient and SPSS software version 16 were applied in data analysis. Results: The total self-esteem score of the  participating in this  was 5.6 +/- 32.5 and most mothers had an authoritative  (80.6%). There was significant relationship between self-esteem and authoritative   (p = 0.05). Conclusion: The indicated that authoritative   was a significant predictor of 's self-esteem, which suggests that  of s with authoritative   have significantly higher self-esteem."
Parenting style and adolescent's reaction to conflict: Is there a relationship?,2002,"Purpose: To determine if the reactions of adolescents toward hypothetical situations that can lead to conflict and violence varied by   of their mothers. Methods: This  was part of a larger  project involving adolescents and their mothers participating in a longitudinal HIV-prevention program. Mothers and their adolescents were recruited from a community-based organization (CBO) and interviewed separately. Data were analyzed using the responses of 439 African-American adolescents ranging from ages 11 to 14 years. The responses of adolescents to questions about  were used to classify mothers into one of three  : authoritative, authoritarian, or permissive. The anticipated reactions to hypothetical situations scale consists of 11 items with 6 response categories. The six responses were reclassified into three categories ranging from not at all violent to extremely violent. Higher scores indicate more violent reactions to the hypothetical situations. The  scale consists of two subscales: a 13-item al involvement scale and a 13-item al control scale. Items were rated on a 5-point Likert scale from strongly disagree to strongly agree. Analysis of variance was used to determine if the anticipated reactions of adolescents toward hypothetical situations varied by   of their mothers. Results: Adolescent participants who reported a more permissive   expressed more intense negative reactions toward the hypothetical situations that can provoke conflict. Male adolescents  expressed more intense reactions than females to the situations. There was no difference in intensity of reaction by age after controlling for gender and  . Conclusions:   is associated with adolescents' reactions to hypothetical situations that can provoke conflict. This finding highlights the importance of considering s and their approach to -rearing as a factor in the adolescent's ability to react to conflict. (C) Society for Adolescent Medicine, 2002."
Perceived Parenting Styles Fail to Mediate Between Anxiety and Attachment Styles in Adult Siblings of Individuals with Developmental Disabilities,2016,"Adult siblings of individuals with developmental disabilities often experience higher levels of anxiety than individuals in the general population. The   tested whether perceived  could mediate the relationship between attachment  and anxiety in the sibling group compared to a control group. Little association was found between perceived  and attachment  or anxiety for the siblings but there were robust and expected findings for the control. Adult attachment-related-anxiety was a significant unique predictor of anxiety in the sibling group but there was no mediational role for perceived . Conversely, the majority of   significantly mediated the relationship between attachment and anxiety in the control. Implications for the atypical findings in the sibling group are discussed."
The Relationship Between Parental Psychopathic Traits and Parenting Style,2018,"Surprisingly little  has examined the role of al psychopathic traits in the - relationship. We aimed to gain a better understanding of how al psychopathic traits are related to   and to determine whether specific al psychopathic traits are differentially related to  behaviors. A sample of male and female s from a community population completed the Psychopathic Personality Inventory-Revised (PPI-R) as well as a modified version of the al Authority Questionnaire (PAQ). Path analyses predicting PAQ subscales from PPI-R factors indicated poor model fit. However, path analyses examining PAQ and PPI-R subscales indicated good model fit, with PPI-R subscales explaining 20-25% of variance in PAQ subscale scores. Surprisingly, PAQ Authoritative  was significantly predicted by the greatest number of PPI-R facets, including Carefree Nonplanfulness, Coldheartedness, Rebellious Nonconformity (all positive) and Fearlessness (negative). Rebellious Nonconformity  positively predicted PAQ Permissive , and negatively predicted PAQ Authoritative . Results suggest al psychopathic traits may be associated with specific  , although future  should consider potential moderating variables."
Maternal depression and socio-economic status moderate the parenting style/ obesity association,2010,"Objective: The purpose of the  was to test the moderating influence of two risk factors, maternal depression and socio-economic status (SES), on the association between authoritarian and permissive   and  obesity. Design: Correlational, cross-sectional .   was measured with the  Styles and Dimensions Questionnaire (PSDQ). Maternal depression was measured using the Center for Epidemiologic Studies Depression Scale (CESD). BMI-for-age percentile was used to categorize  by weight status ( with BMI-for-age >= 95th percentile were classified as obese). SES was computed from  education and occupational status using the four-factor Hollingshead index. Setting: Rural public schools in a mid-western state in the USA. Subjects: One hundred and seventy-six mothers of first-grade  (ninety-one boys, eighty-five girls) enrolled in rural public schools. Results: Both maternal depression and SES were found to moderate the permissive  / obesity association, but not the authoritarian/ obesity association. For depressed mothers, but not for non-depressed mothers, more permissive  was predictive of  obesity. Similarly more permissive  was predictive of  obesity among higher SES mothers, but not for lower SES mothers. Conclusions: Maternal depression and SES interact with permissive   to predict  obesity. Future  should examine the relationship among these variables using a longitudinal design."
Parenting Styles and Children's Delinquency Reconsidered: An Empirical Assessment,2020,"For decades, criminological theories have emphasized the importance of strong - relationships in preventing 's delinquent behaviors (e.g., Gottfredson & Hirschi, 1990). In particular, Thornberry's (1996) interactional theory has catalyzed studies of the critical importance of reciprocal relationships between s and . However, though previous studies have examined reciprocal relationships, they typically do not assess changes in those relationships over time (Wiloughby & Hamza, 2011). The purpose of this  is to evaluate how reciprocal relationships vary among   and how this variance accounts for 's delinquency. In particular, using data from the National Longitudinal Survey of Youth 1997 Cohort , the   examines how the authoritative   and different 's and 's sexes affect the reciprocal - relationship. It discovers a significant correlation between authoritative   and a reduction in  delinquency and observes how a 's sex influences this dynamic."
"Parenting Style, Perfectionism, and Creativity in High-Ability and High-Achieving Young Adults",2012,"The current  explores the potential relationships among perceived  , perfectionism, and creativity in a high-ability and high-achieving young adult population. Using data from 323 honors college students at a Midwestern university, bivariate correlations suggested positive relationships between (a) permissive   and creativity and (b) authoritarian   and socially prescribed perfectionism. Furthermore, negative relationships were  found between authoritarian   and creativity. These relationships were further investigated using a path model that included control variables for gender and  education level. Findings suggest statistically significant relationships between creativity and gender, authoritarian  and socially prescribed perfectionism, authoritarian  and creativity, and permissive  and creativity."
Is There a Relation between Mothers' Parenting Styles and Children's Trait Emotional Intelligence?,2012,"Introduction. Emotional intelligence has been proposed as a human faculty that may have a strong impact on a variety of 's developmental outcomes such as: school achievement, peer acceptance, and behavioral adjustment. It has  been proposed that  may influence 's development of emotional intelligence. However, very little  has been done in this area. Method. This  investigates the relation between  and emotional intelligence. It was developed in two phases. Phase 1 examined mother's positive and negative  and the relation with their 's trait emotional intelligence. Phase 2 investigated authoritative, authoritarian, permissive, and uninvolved  . Data was collected for both mothers and  using self-report questionnaires. Results. In phase 1, no correlations were obtained between the trait emotional intelligence measures and the two al variables: positive , and negative . In phase 2, ANOVA analysis showed no significant differences in the trait emotional intelligence of the  among the four  . Discussion and Conclusion. Results suggest that 's trait emotional intelligence may be more susceptible to specific emotion-related  efforts than to their mothers'  ."
The Role of Parenting Styles on Behavior Problem Profiles of Adolescents,2019,"al behavior is one of the most influential factors on the development of adolescent externalizing and internalizing behavior problems. These behavioral problems are closely related and often co-occur. The objectives of this work were: (i) to identify adolescents profiles according to their behavior problems; (ii) to explore individual, family, and social characteristics associated with these profiles; and (iii) to analyze the potential role of   in belonging to adolescents' profiles. A total of 449 Spanish adolescents (223 from families declared at-risk and enrolled in Child Welfare Services and 226 from families from the general population) participated in this . The analyses revealed three profiles of adolescents based on external and internal behavior problems (adjusted, external maladjustment, and internal maladjustment).   explained the adolescents' belonging to different profiles, in which the indulgent  was the most favorable in general terms. The distinctive role of   on two types of maladjustment profiles was confirmed. The relationship between   and adolescent adjustment is a key component that should be included in interventions according to adolescents' behavior problem profiles. Furthermore, the  shed light on the need that family interventions are complemented with individualized interventions with adolescents that accumulate stressful life events."
Does optimal parenting style help offspring maintain healthy weight into mid-life?,2019,"An authoritative   is generally associated with healthier body weight in  and adolescents. However, whether the protective effect of an authoritative  on offspring body weight may persist into adulthood has seldom been investigated. In this  we examined the longitudinal association between   and body mass index (BMI) change in mid-life. Longitudinal data from the Midlife in the United States Study (N = 3929) were analyzed using generalized estimating equations, adjusting for a range of relevant covariates.   were assessed at phase I (1995-1996) using items measuring al warmth and control, while BMI was assessed at phases I and II (2004-2006). Four   were derived following prior : authoritative, authoritarian, permissive, and uninvolved . Compared to an authoritative , an authoritarian  was associated with 14% higher increase in the standardized BMI change score (beta = 0.14, 95% confidence interval: 0.03, 0.26). While there was suggestive evidence that an uninvolved versus authoritative  might  be associated with greater BMI increase, we found no differences between a permissive and authoritative . This  suggested that the protective effect of an authoritative   on offspring body weight may persist well into mid-life, particularly as compared to the authoritarian  and possibly the uninvolved . Such work may reinforce the importance of a public health focus on improving  practices and suggest the value of implementing  programs, as one strategy for increasing the likelihood that individuals can maintain healthy weight well into adulthood."
TREATMENT ADHERENCE DIFFICULTIES AMONG CHILDREN WITH CANCER - THE ROLE OF PARENTING STYLE,1993,"Investigated the prevalence of treatment adherence problems.among  undergoing cancer treatment and explored the relationship of sociodemographic factors,  functional status, and   to these difficulties. Nurse ratings of adherence difficulties encountered during the cancer treatment regimen were completed on 77  and their caregivers. A subset of caregivers  completed a measure of  attitudes and practices. Results indicated that certain adherence difficulties were related to the 's age and functional status, the family's socioeconomic status (SES), and  . The 's age was related to adherence to procedure-related tasks; younger  had more frequent problems with completing these tasks. More functional  had a greater number of adherence problems. Families with a lower SES had more difficulties with timeliness and cancellations/delays of clinic appointments and promptness of reporting of the 's reactions to treatment. Children of caregivers who had a more ''supportive''   (were more sensitive to 's input, had a less restrictive attitude towards , and were more nurturant) canceled and delayed fewer appointments, were on time more frequently for appointments, and reported reactions to treatment with less delay. Implications of these findings for future  on treatment adherence and for clinical interventions are discussed."
Socialization of Dissonance Processes: Reports of Parenting Style Experienced During Childhood Moderate Dissonance Reactions,2014,"Based on portrayals of dissonance as a learned drive state, it was hypothesized that there may be a role for   and related variables in the development of dissonance reactions. This experiment found that both reports of having s with authoritarian   and learning the link between responsibility and consequences moderated the effect of an induced compliance dissonance manipulation on attitudes. Reports of having experienced authoritarian  and responsibility emphasis both bolstered the effect of the dissonance manipulation, accentuating the difference between the dissonance and control conditions as authoritarian  and responsibility increased. These findings help shed some light on the processes by which dissonance reactions might be learned."
Parenting Styles and Dimensions Questionnaire: Preliminary Validation in the Angolan Context,2020," educational  re a central dimension in the area of . However, there is a lack of instruments to assess   in the Angolan population. This  s the  of the preliminary validation (factorial and convergent validity and reliability) of the Portuguese version of the  Styles and Dimensions Questionnaire for the Angolan context. The  comprised 258 Angolan mothers and fathers of school-aged  (6-12 years). The original three-factor structure (32 items authoritative, authoritarian and permissive ) was replicated through confirmatory factor analysis, although only the first two revealed good reliability (.83 and .76, respectively). The  suggest that the modified Portuguese version of the PSDQ is suitable for the Angolan context, namely for  purposes. Its use for clinical purposes requires further psychometric studies."
"Maternal Parenting Styles, School Involvement, and Children's School Achievement and Conduct in Singapore",2014,"This  examined the roles of 's perceptions of maternal   (warmth, psychological control, and behavioral control) and maternal involvement in school-focused  practices (home-based involvement, home-school conferencing, and school-based involvement) predicting 's school achievement and conduct in Singapore. Students (N = 712) in 3rd, 4th, 5th, and 6th grades completed questionnaires on their mothers'   and school-focused  practices. Student achievement and conduct were assessed using achievement tests and conduct grades. Achievement was predicted by   (warmth, behavioral control, and psychological control) after adjusting for gender, grade, ethnicity, and maternal education. School-focused  practices predicted achievement and conduct after adjusting for  .   moderated the relationships among  practices and achievement and conduct. Maternal warmth increased the relationship between maternal school-based involvement and 's achievement. In addition, behavioral control increased the relationship between home-based involvement and appropriate school conduct. Gender and grade  moderated the relationships among   and school involvement and achievement. The relationship between warmth and achievement was stronger for girls than boys, whereas there was a stronger relationship between home-based school involvement and achievement for boys than for girls. Warmth predicted achievement in 3rd grade but not in the older grades. Overall, the findings provide support for the hypothesis that school-focused  practices predict achievement and conduct after adjusting for   and for the hypothesis that   moderate  practices."
"Childhood Obesity: The Relationship Between Negative Emotionality, Emotion Regulation, and Parenting Styles",2019,"ObjectivesWe aimed to compare obese  and their non-obese counterpart on 's negative emotionality, emotion regulation and maternal   and to examine the joint contribution of 's temperament and maternal  to 's obesity.MethodsA total of 200 mothers were involved in this , 100 with  diagnosed with obesity (49 boys, 51 girls; the age ranged from 6 to 12 years), and 100 with  with a normal weight (49 boys, 51 girls; the age ranged from 6 to 12 years). Mothers completed self-report measures on 's emotionality, emotion regulation, and  .ResultsThe comparison between the two groups showed that obese , compared with their non-obese counterpart, had higher levels of negative emotionality and emotional lability and a lower level of emotion regulation; they  had more authoritarian and permissive mothers than non-obese counterpart. Logistic regressions showed a joint contribution of the authoritarian   and emotional lability to obesity, so that both at lower and higher levels of emotion lability, 's obesity tended to be lower when authoritarian  was low and to be higher when authoritarian  was high.ConclusionsUnderstanding the mechanisms through which   and characteristics of  are associated to obesity risk may lead to the development of more-comprehensive and better-targeted interventions."
"Parenting style, resilience, and mental health of community-dwelling elderly adults in China",2016,"Background: Given the increasing elderly population worldwide, the identification of potential determinants of successful ageing is important. Many studies have shown that   and mental resilience may influence mental health; however, little is known about the psychological mechanisms that underpin this relationship. The current  sought to explore the relationships among mental resilience, perceptions of s'  , and depression and anxiety among community-dwelling elderly adults in China. Methods: In total, 439 community-dwelling elderly Chinese adults aged 60-91 years completed the Personal and s'  Style Scale, Connor-Davidson Resilience Scale, Zung Self-Rating Depression Scale, and Zung Self-Rating Anxiety Scale. Results: Elderly adults whose s preferred positive and authoritative   had higher levels of mental resilience and lower levels of depression and anxiety. Elderly adults ed in the authoritarian  were found to have higher levels of depression and anxiety, with lower mental resilience. Conclusions: The findings of this  provide evidence related to successful ageing and coping with life pressures, and highlight the important effects of  on mental health. The  suggest that examination of the proximal determinants of successful ageing is not sufficient-distal factors may  contribute to the 'success' of ageing by modifying key psychological dispositions that promote adaptation to adversity."
Influence of Maternal and Paternal Parenting Style and Behavior Problems on Academic Outcomes in Primary School,2019,"s and teachers are concerned about the academic outcomes of . Among the variables that play an important role in school success,   and behavior problems are some of the most studied. Literature shows that presence of behavioral problem and   based on physical punishment, lack of consistency and ineffective limit setting are related to poor academic achievement. The   examined the influence of maternal and paternal   and behavior problems on the academic outcomes of primary-school . Measures used in this  included the Inventory of  Guide, the Child Behavior Checklist and information on academic outcomes (n = 78 families). The range age of the students was 6 to 13 years old (mean = 8.08; SD = 1.6; 38 girls). The participation rate was 90.7%. The  showed that behavior problems and sensitive   were related to academic outcomes. Specifically, attentional problems and maternal sensitive   appeared to be significant predictors of academic outcomes in this . These data suggest the relevance of attention and maternal sensitive   in understanding processes that promote academic outcomes."
"Adolescents' risky online behaviours: The influence of gender, religion, and parenting style",2013,"This  explored the influence of gender, religion, and   on risky online behaviours in a sample of 825 Secondary 2 students in Hong Kong. Three risky online behaviours, namely, unauthorised acts (UNAC), internet stickiness (INST), and plagiarism (PLAG) were examined. It was found that males tended to be involved in more risky online behaviours than did females. Christians were no different from non-Christians in terms of risky online behaviours.   did not seem to be effective in reducing risky online behaviours. There was some evidence that gender moderated the relationship between risky online behaviours and  . Taken together, gender, religion, and   predicted risky online behaviours significantly. Implications of the findings are discussed. (C) 2013 Elsevier Ltd. All rights reserved."
INFLUENCE OF MOTHER'S PARENTING STYLES ON MENTAL HEALTH OF ADOLESCENTS: INTERPLAY OF GENDER,2013,"There is no way in which s can evade having a determining effect upon their 's personality, character, and competence. The functions of  greatly influence how  develop. Amidst the understanding of the importance of the - relationship, it becomes crucial to decipher whether the  , especially of mothers, really influence the mental health of adolescents. The   looked into the   of urban and rural mothers from the perspective of mental health of adolescents. The data was collected from a randomly selected sample of 100 adolescents from the district of Faridabad in the State of Haryana.  Authority Questionnaire by Burie (1991) and Mental Health Inventory was administered to ascertain the   of mothers and adolescents' mental health. Descriptive statistics was used to analyse the data. The analysis revealed that 'authoritative  ' does contribute towards the mental health of adolescents."
Dog-Directed Parenting Styles Mirror Dog Owners' Orientations Toward Animals,2020,"s raise  in consistent ways, and these   affect  wellbeing and societal adjustment. Recently, we identified such   in the owner-dog relationship. Dog owners of the authoritarian- correction orientated (AUC) type stand out for demandingness. Authoritative dog owners adopt either an intrinsic-value orientated  (AUI), of high responsiveness and attention to a dog's needs, or an authoritative-training orientated  (AUT) of high demandingness and responsiveness in teaching a dog how to behave socially. The causes for dog owners to favor certain dog- directed   are ly unknown. Orientations toward animals could play a role, and these have previously been determined in dog owners, capsulizing views on dog ownership. A dominionistic orientation values the dog for its utility, a humanistic orientation humanizes dogs, and a protectionistic orientation acknowledges the dog's species-specific interests. We wanted to know how these views on dog ownership are associated with dog-directed  . Therefore, orientations toward animals and dog-directed   were determined from dog-owner reports collected online (n = 518). The Likert-scale items regarding the orientations toward animals were grouped using data reduction techniques. The scores for our newly formed orientations were then rank correlated to the dog-directed  , with all scores expressed as percentages of the theoretical maximum. A dominionistic orientation was associated with AUC, indicating that combined demandingness and non-responsiveness in dog-directed  partly  from the owner's perceived need to dominate the dog. A humanistic/protectionistic orientation was associated with AUI, suggesting that the combination of  responsiveness and relatively low demandingness is an outcome of humanizing dogs. These findings support the idea that orientations toward animals partly underlie dog-directed   and may constitute a starting point for guiding owners away from less favorable dog-directed  ."
Maternal and paternal parenting styles: assessment and relationship with adolescent adjustment,2007,"This  s the validation of a scale that was elaborated to assess maternal and paternal   according to the perception of their adolescent . The scale was applied to a sample composed by 848 adolescents aged from 12 to 17 years old, that  filled out the Youth Self Report, a life satisfaction scale and a substance use questionnaire. Exploratory and confirmatory factor analyses revealed a six factors structure for maternal and  for paternal  . These dimensions showed significant relationships with most of the measures of adolescent adjustment considered in the Study. Comparisons between boys' and girls' perceptions of paternal and maternal   revealed that, in spite of the high agreement between both , mothers were scored higher than fathers in every dimension of  ."
"Adolescent Perceptions of Parenting Styles in Sweden, Italy and Greece: An Exploratory Study",2015,"Comparative  on   among Nordic and Mediterranean countries is still missing, despite the increasing number of studies on   in adolescence. This  explores similarities and differences in adolescents' retrospective perceptions of  , for both s, in Sweden, Italy and Greece, using the  Styles and Dimensions Questionnaire. In particular, it examines the relation between al role, adolescent gender, country of origin, SES and these perceptions. Swedish, Italian and Greek adolescents (N = 702; 30.9% Swedish, 39.6% Italian and 29.5% Greek) participated in the . To test the principal effects three mixed 2(; mother and father)*2(gender; girl and boy)* 3(countries; Sweden, Italy and Greece)* 3(SES; low, medium and high) ANOVAs were conducted separately for each  . To verify the interaction effects, a mixed 2(; mother and father)* 3(countries; Sweden, Italy and Greece)* 3(SES; low, medium and high) ANOVA was tested on authoritative . Regarding authoritarian and permissive two mixed 2(; mother and father)* 2(gender; girl and boy)* 3(countries; Sweden, Italy and Greece) ANOVAs were tested. Mothers, as compared to fathers, were perceived as more authoritative, authoritarian and permissive. Moreover, boys perceived their s as more authoritarian and more permissive than girls. Swedish s were perceived as significantly less authoritarian than Italian and Greek s and more permissive than Italian s; Greek s were perceived as less authoritarian and more permissive than Italian s. The  provides an interesting contribution to   literature, showing how country legislation concerning family matters and SES are related the perception of  behaviours."
Maternal and paternal parenting styles: Unique and combined links to adolescent and early adult delinquency,2011,"The   examines the cross-sectional and longitudinal associations between fathers' and mothers'   and male and female delinquency using a sample of 330 Dutch families with a mid or late adolescent son or daughter (ages 14-22), followed across two measurement waves with a 5-year interval.   of fathers and mothers were linked to delinquency. A significant   by sex interaction was found: neglectful  was related to higher levels of delinquency in males and permissive  was linked to delinquency in females. A long term relationship was found between fathers' neglectful   and delinquency in males. Furthermore,  revealed that levels of delinquency were the lowest in families with at least one authoritative  and highest in families with two neglectful s, indicating that the level of delinquency was dependent on the combination of mother's and father's  . (C) 2011 The Foundation for Professionals in Services for Adolescents. Published by Elsevier Ltd. All rights reserved."
