Author ,Title,Journal,Abstract,Year
"Southwell, Kenona H.; Whiteman, Shawn D.; Wadsworth, Shelley M. MacDermid; Barry, Adam E.",The Use of University Services and  Retention: Differential Links for  Service Members or Veterans and Civilian s,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"Grounded in research and theory on   , this study assessed differences in the use of various  services and the influence of key personnel on -related outcomes of  service members or veterans (SSM/Vs) compared with civilian s. Participants included 386 s, 199 (154 male, 45 female) of which were SSM/Vs and 187 (87 male, 100 female) were civilian s. Data were collected via electronic survey. Analyses revealed that civilian s visited advisors and faculty more frequently than SSM/Vs; no differences were evident for visits to registrars' offices, financial aid offices, or  organizations. Visits to advisors and faculty were positively related to SSM/Vs' expectations for degree completion and perception of  environment, yet unrelated to civilian s' outcomes. Overall, this work suggests that  officials should invest in educating the personnel who are most influential in SSM/Vs outcomes about the unique needs of  veterans.",2018
"Roland, Nathalie; Frenay, Mariane; Boudrenghien, Gentiane",Understanding Academic Persistence through the Theory of Planned Behavior: Normative Factors under Investigation,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"High drop-out rates among first-year  s have led many researchers to attempt to gain a better understanding of academic . However, despite this extensive literature, only a few studies have taken normative factors into account. These normative factors may be an essential factor of influence for  as it is already the case for other behaviors. We therefore decided to study whether including injunctive and descriptive norms in the investigation might improve the understanding of . To this end, we focused on the theory of planned behaviour which considers for background, motivational, and normative factors. Seven hundred and twenty-seven first-year  s were asked to complete a self-report questionnaire. A structural equation modeling technique revealed that the model including injunctive norms fits better with the data than the model without norms. However, this was not the case with descriptive norms. These results are examined in the Discussion section. Finally, directions for future research and practical implications are suggested.",2018
"Childs, Stephen E.; Finnie, Ross; Martinello, Felice",Postsecondary  Persistence and Pathways: Evidence From the YITS-A in Canada,RESEARCH IN HIGHER EDUCATION,"The Youth in Transition Survey is used to follow the postsecondary  (PSE) pathways and outcomes of Canadian youth over the mid 2000s. s starting at community s and four year universities are analyzed separately. First program outcomes are reported, showing the proportions of s who leave their first programs but remain in PSE by switching/transferring to other programs, , or levels. Multinomial regression estimates correlates of s' first program switching and leaving decisions. Five year graduation rates are calculated to show the importance of different pathways (across programs, , and levels) to earning a PSE credential; in the aggregate and for subgroups of s. Transfers constitute important but not terribly large pathways for Canadian s to adjust their PSE and obtain PSE credentials. We calculate the resulting extent to which institution specific measures of , PSE leaving, and graduation rates misstate the rates experienced by s. Compared to American s,  and community  starters in Canada have   and graduation rates and lower transfer rates across . For community  starters, much of the difference is due to the relative lack of well defined pathways from community s to universities in Canada. We find that s with more family resources are better able to transfer across programs or  in order to obtain a PSE credential.",2017
"Xu, Yonghong Jade",The Experience and Persistence of College s in STEM Majors,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"In this study, an online survey was constructed based on the extant literature on   success. The survey was used to collect data from a sample of  s in science, technology, engineering, and math (STEM) majors in order to examine their learning experiences and to identify the factors that may influence their  to degree completion. The findings support the theoretical modeling of the academic and social aspects of   experience. Nonetheless, it is the institutional conditions, particularly the quality of academic program and faculty teaching and accessibility, which dominate the STEM s'  experience and their  in academic major and to graduation. Therefore, it is critical for academic  to invest in a supportive learning environment by emphasizing quality teaching, accessible academic advising, and related functions in order to successfully engage STEM s in   and increase their likelihood of degree completion.",2018
"Kulp, Amanda M.; Pascale, Amanda Blakewood; Grandstaff, Matthew",Types of Extracurricular Campus Activities and First-Year s' Academic Success,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"This research examines the relationships between first-year  s' attendance at campus-sponsored extracurricular events and grade point average,  from fall to spring, and  to the second year. s' attendance at various campus life events over the course of an academic year was tracked by scanning s' identification cards. Hierarchical regression modeling revealed that first years attending events within a specific category of campus life programming called signature events had significantly  cumulative grade point averages and better odds of persisting and retaining. The findings from this study add to the body of research on  involvement and engagement, with a specific focus on campus life activities.",2021
"Crisp, Gloria; Nora, Amaury",Hispanic  Success: Factors Influencing the Persistence and Transfer Decisions of Latino Community College s Enrolled in Developmental Education,RESEARCH IN HIGHER EDUCATION,"This study examined the impact of a set of theoretically-derived predictor variables on the  and transfer of Hispanic community  s. Early models of   have been validated primarily among 4-year  s. While the constructs have been well-established, the relationships of those relevant factors remain unexamined among community  transfer s, and specifically, among Hispanic s enrolled in developmental coursework and planning to transfer from a community  to a 4-year institution. Logistic regression analysis was used to test the hypothesized conceptual framework on an existing set of quantitative  data drawn from a national sample of Hispanic s.",2010
"Thomas, Devon Thacker; Walsh, Eileen T.; Torr, Berna M.; Alvarez, Anthony S.; Malagon, Maria C.",Incorporating High-Impact Practices for Retention: A Learning Community Model for Transfer s,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"Transfer from one institution to another is increasingly common for s during the course of their   careers. The number of s moving from community s to four-year universities continues to rise. Transfer s report experiences of alienation, isolation, and other personal and academic challenges. To address this problematic transition, the authors propose a cohort-based learning community model that incorporates high-impact practices of first-year experience programs demonstrated to improve . These include enhanced advising, project-based  collaboration, application of knowledge across courses, collaboration of core faculty, peer support, and required participation in campus activities. This model, applicable to any major and particularly useful for those comprised heavily of upper division courses, is applied in a Sociology department. Findings from the pilot study suggest that s experience increased sense of community, improved academic and social integration, and great promise for . Ultimately, the comprehensive model and assessment plan detailed in this  can be implemented in a similar manner across disciplines and universities for a variety of  populations of concern.",2021
"Forsman, Jonas; Linder, Cedric; Moll, Rachel; Fraser, Duncan; Andersson, Staffan",A new approach to modelling student retention through an application of complexity thinking,STUDIES IN HIGHER EDUCATION,"Complexity thinking is relatively new to  research and has rarely been used to examine complex issues in physics and engineering . Issues in   such as   have been approached from a multiplicity of perspectives and are recognized as complex. The complex system of   modelling in   was examined to provide an illustrative account of the application of complexity thinking in al research. Exemplar data was collected from undergraduate physics and related engineering s studying at a Swedish . The analysis shows how complexity thinking may open up new ways of viewing and analysing complex al issues in   in terms of nested, interdependent and interconnected systems. Whilst not intended to present new findings, the  does illustrate a possible representation of the system of items related to   and how to identify such influential items.",2014
"Skvoretza, John; Kersaint, Gladis; Campbell-Montalvo, Rebecca; Ware, Jonathan D.; Smith, Chrystal A. S.; Puccia, Ellen; Martin, Julie P.; Lee, Reginald; MacDonald, George; Wao, Hesborn",Pursuing an engineering major: social capital of women and underrepresented minorities,STUDIES IN HIGHER EDUCATION,"As part of a longitudinal research effort that examines the influence of social capital on differential  and  among undergraduate engineering majors, this study examines how engineering degree-related social capital differs for first-year engineering s by gender and ethno-racial groups. Social capital is operationalized as a person's network of relationships with individuals who hold influential positions (e.g. parent, teacher, advisers) and access to resources that support  in engineering programs. Our data comprise survey responses from 2186 first-year engineering s, from eleven diverse s and universities, who provided information about their participation in engineering-related courses, activities, and programs while in high school as well as the individuals who influenced their decision to pursue an engineering major. We found few differences in social capital between men and women, but found many differences among ethno-racial groups, which suggests that different levels of social capital could influence s'  and .",2020
"Franke, Ray; Bicknell, Brian","Taking a Break, or Taking a Class? Examining the Effects of Incentivized Summer Enrollment on  Persistence",RESEARCH IN HIGHER EDUCATION,"This study examines the effects of an incentivized summer enrollment initiative on  . In particular, we analyze how participation in summer classes (at least 3 credit hours) affect s' likelihood to reenroll in the fall semester at a two-year, private, technical  in Boston. The novel initiative, which provides eligible s with a free summer class of up to four credits, was launched in academic year 2010-2011. We obtained data for five consecutive cohorts since implementation at the Benjamin Franklin Institute of Technology. To study its effects, we build on the framework of academic momentum, human capital theory, and draw from the behavioral economics literature. To better account for potential selection bias in the estimation, this study employs two propensity score matching techniques, including a doubly robust design. We find that attending summer classes is associated with significant increases in s' chances to persist and reenroll in the fall semester. More specifically, we estimate the average treatment effect (ATE) and average treatment effect on the treated (ATET) to be between 30 and 32%. Results also show a  percentage of s enrolling in summer classes at this institution (35%) when compared to national rates. Based on our results and previous findings in the literature, we argue there is mounting evidence that attending summer session increases   and degree completion, and that the combination of summer enrollment with well-designed incentive structures can enhance positive effects further. Implications for policy and al practice are discussed.",2019
"Pratt, Ian S.; Harwood, Hunter B.; Cavazos, Jenel T.; Ditzfeld, Christopher P.",Should I Stay or Should I Go? Retention in First-Generation College s,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"The current project uses our 's new  survey to compare previously reported trends in first-generation   (FGCS)  with those found on our campus and discusses potential directions for future research and intervention programs. Consistent with previous research, our data showed that financial concerns were a particularly strong predictor of freshman-to-sophomore . FGCS reported that they were significantly more concerned about money and expected to maintain employment throughout their  career at  rates. This emphasis on work reduces the amount of time FGCS engage in -related activities and hinders their feeling of connection with their peers. For example, our FGCS expected to encounter more difficulty performing well academically, fitting into the campus environment, and making new friends than non-FGCS s. Our future research agenda extends these findings to other aspects of campus life, examining issues such as cultural fit, family ties, and  inclusiveness.",2019
"Farmer, Errick D.; Hope, Warren C.","Factors That Influence African American Male Retention and Graduation: The Case of Gateway University, a Historically Black College and University",JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"African American males face major challenges in  and graduation from  of  . The 6-year graduation rate for African American males at 4-year public  and private nonprofit s is less than 40%. This figure suggests that  toward degree attainment is a problem. The purpose of this study was to ascertain whether selected pre- and -level variables have a relationship to  and graduation for African American males. Gateway University, a historically black  and , was the site of the investigation. Three research questions were posed: ( a) What pre variables best predict  and graduation for African American males? (b) What -level variables best predict  and graduation for African American males? and (c) What combination of pre- and -level variables best predict  and graduation for African American males? Five-hundred and sixty-two African American males, entering freshmen for the 2005-2006 academic year, comprised the sample. Inferential analyses, including bivariate relationships, cross-tabulations, chi-square and logistic regression, were performed to determine relationships between the independent (predictor) and dependent (criterion) variables. The results reveal that (a) s with  high-school grade point averages (GPAs) were more likely to be retained and graduate than those with lower GPAs, (b) s with  first semester GPAs were more likely to be retained and to graduate than those with lower first semester GPAs, (c) residents of the state were most likely to be retained than nonresidents, and (d) residents of the state and s with  first semester GPAs were more likely to be retained and graduate than those with lower first semester GPAs.",2015
"Fass-Holmes, Barry","International Undergraduates' Retention, Graduation, and Time to Degree",JOURNAL OF INTERNATIONAL STUDENTS,"The present study tested the hypothesis that the international undergraduates at a West Coast American public  during recent years of dramatic enrollment growth should have low  and graduation rates. This study showed instead that these s were retained and graduated at rates surpassing predictions from research and theories on international undergraduates' unique challenges (American immigration regulations, academic integrity standards, and teaching methods; English writing) and academic struggles. Moreover, contrary to predictions related to academic struggles, the primary reasons for these s' attrition were leave of absence for compulsory military service and deciding against attending the University. These results disconfirm the study's hypothesis and instead suggest that these international undergraduates generally have succeeded academically.",2016
"Valentine, Jeffrey C.; Hirschy, Amy S.; Bremer, Christine D.; Novillo, Walter; Castellano, Marisa; Banister, Aaron",Keeping At-Risk s in School: A Systematic Review of College Retention Programs,EDUCATIONAL EVALUATION AND POLICY ANALYSIS,"The wage premium for  graduates is substantial. Far fewer of these benefits accrue to s who complete some  (i.e., those who do not persist to graduation), and, partly for this reason, s often adopt programs aimed at helping to keep at-risk s in school. This  reports on a systematic review and meta-analysis of studies of such  programs. The studies suggest small but potentially important effects on short-term  rates and grades earned by program participants. Studies of more comprehensive interventions using relatively more appropriate comparison groups suggested more effective results than did studies that used weaker interventions, relatively less appropriate comparison groups, or both. Even the best studies included in this review are methodologically suspect and as such do not provide a very strong basis for making policy recommendations. From a public policy perspective, this review points to the need for more investment in rigorous studies that investigate, at a finer level of detail, the specific aspects of programs that are associated with program success. Rigorous studies are also needed that investigate the interaction between programs and  characteristics to determine what types of programs are most effective for which s.",2011
"Jensen, Jamie L.; Neeley, Shannon; Hatch, Jordan B.; Piorczynski, Ted","Learning Scientific Reasoning Skills May Be Key to Retention in Science, Technology, Engineering, and Mathematics",JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"The United States produces too few Science, Technology, Engineering, and Mathematics (STEM) graduates to meet demand. We investigated scientific reasoning ability as a possible factor in STEM . To do this, we classified s in introductory biology courses at a large private  as either declared STEM or non-STEM majors and assessed their reasoning ability using the Lawson Classroom Test of Scientific Reasoning. We then obtained their declared majors 1 to 4 years later. We found that reasoning ability correlates with high-level performance and final course grades. In addition, results indicate that STEM majors have  reasoning skills than non-STEM majors but not until after the freshman year. However, we show that reasoning ability does not predict  or declaration of a STEM degree and suggests instead that increased reasoning skills are a product of learning. We suggest al interventions that may plug the leaky pipeline in STEM .",2017
"Slanger, William D.; Berg, Emily A.; Fisk, Paul S.; Hanson, Mark G.",A Longitudinal Cohort Study of  Motivational Factors Related to Academic Success and Retention Using the College  Inventory,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"Ten years of College  Inventory (CSI) data from one Midwestern public land-grant  were used to study the role of motivational factors in predicting academic success and   . Academic success was defined as cumulative grade point average (GPA), cumulative course load capacity (i.e., the number of credits earned divided by number of classes for which a grade was given), cumulative ratio of credits earned to credits taken, and  to subsequent fall semesters through eight semesters of study. An aggregation of 256 step-wise linear regression results showed Predicted Academic Difficulty and Dropout Proneness were predictive of cumulative GPA across all cohort groups and through the eighth semester of study. Three of the four CSI compound scales (not Receptivity to Institutional Help) were found to be predictive of ratio of credits earned to credits attempted through the fourth semester and  through a maximum of eight semesters. In addition to drawing light to sophisticated nuances with which the CSI can be practically applied to individual s, this study suggests that the CSI can play a global role in monitoring over time changing  motivational factors related to   success.",2015
"Allen, D",Desire to finish college: An empirical link between motivation and persistence,RESEARCH IN HIGHER EDUCATION,"A strong desire for achievement may be seen as an important component of  motivation to complete . This study examined the structural relationships among four constructs: (1) motivational factors, (2)  background factors, (3) academic performance, and (4) . Motivation and background factors were examined to determine their direct and indirect effects on academic performance and  for minorities and nonminorities. The study supported utilization of factors external to the s'  experience identified in the  literature based on Bean's (1980)  Attrition Model. While it was found that motivation failed to impact academic performance for either racial subgroup, a significant motivational effect on  was found for minorities but not for nonminorities in this study. Minority s with high levels of motivation tended to persist to their second year. Policy implications are discussed.",1999
"Berzenski, Sara R.",The When and Who of Graduation and Dropout Predictors: A Moderated Hazard Analysis,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"This study examined graduation and  among social and behavioral science s at a regional comprehensive . Hazard analyses identified predictors of  trajectories, times at which predictors were more or less impactful, and interactions between predictors such that particular risk factors were more detrimental for certain groups. Results revealed that first-time freshmen and first-time transfer s operate under very different risk models. Total units enrolled and cumulative grade point average emerged as the most salient predictors across all models; however, numerous predictors varied in their salience across time and  subgroup. Differential predictors functioned as risks early versus late in  trajectories. Underrepresented minority status emerged as a risk factor in interaction with other predictors, such that it amplified other risks. These findings suggest that examinations of graduation and  must highlight the complex ways in which traditional risk factors interact with time and context to impact  success.",2021
"Biddix, J. Patrick; Singer, Kaitlin I.; Aslinger, Emilie",First-Year Retention and National Panhellenic Conference Sorority Membership: A Multi-Institutional Study,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"This study examines the impact of joining a National Panhellenic Conference sorority on first-year . We compiled and analyzed data for first-year sorority members from 86 chapters using institutional records at sixteen 4-year s and universities. A total of 4,243 cases comprised the data set, which included records for 2,104 members and 2,139 nonmembers for comparison. The predictive model incorporated controls for background and institutional influences. Findings from predictive analysis showed women who joined sororities were three times more likely to return for their sophomore year. We offer recommendations for practice to strengthen the al component of sorority membership.",2018
"Kersaint, Gladis; Lewis, Jennifer; Potter, Robert; Meisels, Gerry",Why teachers leave: Factors that influence retention and resignation,TEACHING AND TEACHER EDUCATION,"Ajzen's Theory of Planned Behavior is used to examine continuing teachers' plans to remain or resign and the likelihood of resigned teachers to return to teaching in the next 3 years. Specifically, this study examined factors that encourage or hinder resigned teachers from returning to teaching, the importance of such factors, and the importance of those factors for teachers who remained in teaching. We find that family issues are of greatest concern to all teachers, and that leavers place much more emphasis on the time they are able to spend with their families than do stayers. The importance assigned to all factors is influenced by demographic characteristics. (c) 2006 Elsevier Ltd. All rights reserved.",2007
"Westrick, Paul A.; Schmidt, Frank L.; Le, Huy; Robbins, Steven B.; Radunzel, Justine M. R.",The Road to Retention Passes through First Year Academic Performance: A Meta-Analytic Path Analysis of Academic Performance and Persistence,EDUCATIONAL ASSESSMENT,"This meta-analytic path analysis presents evidence that first-year academic performance (FYAP), measured by first-year grade point average (FYGPA) plays the major role in determining second-year   and that socioeconomic status (SES), measured by parental income, plays a negligible role. Based on large sample data used in a previous study, we conducted additional analyses that included corrections for measurement error and created path models using pre academic achievement, measured by ACT Composite scores and high school GPA (HSGPA), and SES to predict FYAP and then second-year . Pre academic performances had direct effects on FYAP, and FYAP fully mediated their effects on second-year . SES did not contribute to the prediction of FYAP, and it had only a trivial effect on second-year . The results of this study point to the criticality of FYAP, and supporting first-year  academic success may serve as the central vehicle for  efforts.",2021
"Lin, Ching-Hui; Borden, Victor M. H.; Chen, Jyun-Hong",A Study on Effects of Financial Aid on  Persistence in Dual Enrollment and Advanced Placement Participation,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"Despite concerted efforts to increase participation in advanced placement (AP) and dual credit (DC) programs, their efficacy remains unexplored. Drawing upon St. John's model as the conceptual framework, this study employed a discrete-time event history analysis to examine the interplay between forms of financial aid and  toward degree completion for s participating in DC and AP programs and enrolling in a large, multicampus, Midwestern, U.S. University. First-time, first-year baccalaureate degree-seeking s who began studies in Fall 2012 were tracked for 4 years. The findings suggest that many factors are significantly related to  success, including  demographics such as race (especially Latino identity), first-generation status, housing status, socioeconomic status, and dependency status; high school performance, AP/DC participation, and SAT or ACT scores; and financial aid, such as Pell and federal grant aid and institutional grant programs. Results suggest that receiving Pell and federal grant aid and institutional grant-in-aid consistently and significantly attenuated the risks of  departure. In relation to prematriculation -level credits, AP participants were more likely to receive institutional grant programs, whereas DC participants were more likely to have  loans. These findings have implications regarding the efficacy of DC/AP programs in regard to their interplay with financial aid systems in affecting  outcomes.",2020
"Armstrong, Vondra O.; Tudor, Thomas R.; Hughes, Gail D.","Course Retention in Community Colleges: Demographics, Motivation, Learning Style, and Locus of Control",AMERICAN JOURNAL OF DISTANCE EDUCATION,"Research on the community   is lacking a full understanding on all the variables that may impact online course success. Researchers in this study examined the effects of  demographics, academic motivation, learning style, and locus of control on  rates in community  online courses. A descriptive discriminant function analysis revealed one function that was primarily defined by age and ethnicity. Locus of control was not supported, but academic motivation and learning style preferences were  predictors to a lesser degree. Online course completers tended to be slighter older, White, reported early course satisfaction, and had a sensing and sequential learning style preference.",2021
"Simmons, Lamont D.",Beyond Matriculation: Examining Factors That Contribute to African American Male Persistence at a Predominantly White Institution,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"In  , academic disparities exist between African American males and their gender and ethnic counterparts. Furthermore, many  struggle to promote African American male  beyond matriculation. This study provides insight into how a sample of undergraduate African American males was persisting at a predominantly White institution. Six themes emerged, including (a) exposure to rigorous high school curriculum, (b) feeling encouraged and supported, (c) having a sense of motivation, (d) al aspirations beyond a bachelor's degree, (e) involvement in ethnic-based campus organizations, and (f) connecting with minority faculty. The preponderance of findings demonstrates that noncognitive factors are essential to how African American males persist.",2019
"Soria, Krista M.; Stubblefield, Robin","Knowing Me, Knowing You: Building Strengths Awareness, Belonging, and Persistence in Higher Education",JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"This goal of this study was to examine the benefits of a campus-wide initiative to build first-year s' strengths awareness. The results of a survey of the first-year class (n = 1,421) suggest a positive and significant relationship between s' strengths awareness and their belief that the strengths initiatives on campus positively influenced their sense of belonging. The results also suggest a positive and significant relationship between s' strengths awareness and  to their second year of study. Qualitative analyses of survey data suggested strengths initiatives enhanced s' self-awareness and confidence, facilitated introductory conversations with peers through the development of a common language, and fostered friendships and a deeper understanding of others-factors that are hypothesized to have contributed to s' sense of belonging and .",2015
"Caison, Amy L.",Analysis of institutionally specific retention research: A comparison between survey and institutional database methods,RESEARCH IN HIGHER EDUCATION,"This study empirically explores the comparability of traditional survey-based  research methodology with an alternative approach that relies on data commonly available in institutional  databases. Drawing on Tinto's [Tinto, V. (1993). Leaving College: Rethinking the Causes and Cures of  Attrition (2nd Ed.), The University of Chicago Press, Chicago.] theory of  integration, this project utilizes an information-theoretic approach [Burnham, K.P., and Anderson, D. R. (2002). Model Selection and Inference: A Practical Information-theoretical Approach (2nd ed.), Springer-Verlag, New York, NY.], in which a set of candidate models was developed using institutional integration survey variables and variables drawn from institutional  databases. An information-theoretic approach to selecting the most parsimonious logistic regression model revealed that institutional database variables out-perform the institutional integration survey scales developed by Pascarella and Terenzini [Pascarella, E. T., and Terenzini, P. T. (1980). Journal of Higher Education 51(1): 60-75.] in predicting 1-year . This empirical support for the use of institutional database variables is valuable in conducting institution-specific  research under constrained resources.",2007
"Bornschlegl, Madeleine; Cashman, David",Improving Distance  Retention Through Satisfaction and Authentic Experiences,INTERNATIONAL JOURNAL OF ONLINE PEDAGOGY AND COURSE DESIGN,"As attrition rates of Australian undergraduate distance programs are consistently high, this  investigates whether  can be increased by increasing the s' satisfaction through improving the  experience. This project examines the distance  experience informed by s' satisfaction with already identified crucial program factors. The authors propose that the Experience Economy model, utilised in tourism studies and general economics, is also relevant to . An online survey collected data from 75 undergraduate distance s. Gathered data was analysed using two simple mediation models. The distance  experience and the s' satisfaction with crucial program factors were strongly indirectly related to the s' intention to persist through the s' overall satisfaction. The results indicate that designers of tertiary distance courses should consider program factors and the characteristics of the distance  experience to ensure high levels of  satisfaction and to increase the s' intention to persist.",2018
"DeAngelo, Linda; Franke, Ray",Social Mobility and Reproduction for Whom? College Readiness and First-Year Retention,AMERICAN EDUCATIONAL RESEARCH JOURNAL,"Completing  is now the minimum threshold for entry into the middle class. This has pushed  readiness issues to the forefront in efforts to increase al attainment. Little is known about how  readiness improves outcomes for s traditionally marginalized in al settings or if social background factors continue to impact s in the same way during  regardless of readiness. Examining first-year   using a nationally representative data set, this study asks if social background factors and financial resources for  differentially impact s based on readiness. Findings indicate that academic readiness matters and that parental income and  generation status differentially affect first-year   for less-ready s but not -ready s. s who begin  less prepared academically are also more disadvantaged than -ready s by the funding sources they have for . Implications for policy and practice are discussed.",2016
"Knight, William; Wessel, Roger D.; Markle, Larry",Persistence to Graduation for s With Disabilities: Implications for Performance-Based Outcomes,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"The study sought to determine whether s with disabilities are disadvantaged because of state and institutional performance-based policies providing incentives for 4-year graduation. In a longitudinal study of 32,187 s at a Midwestern Research University, the  and graduation rates, and mean years to graduation, of s with disabilities were compared with s without disabilities. This study demonstrated that the presence of a disability does not negatively influence eventual graduation, but that it does influence the amount of time to degree completion. However, as the transition to  for s with disabilities can be more difficult, it is important that the institution has interventions in place to assist s with disabilities to assimilate into . The discussion focuses on policy and practice implications linked to performance-based outcomes related to s with disabilities.",2018
"Collier, Daniel A.; Fitzpatrick, Dan; Brehm, Chelsea; Hearit, Keith; Beach, Andrea",Structuring First-Year Retention at a Regional Public Institution: Validating and Refining the Structure of Bowman's SEM Analysis,RESEARCH IN HIGHER EDUCATION,"Structural equation modeling (SEM) considering how s' non-cognitive attributes influence first-year    remain extraordinarily rare-as are studies that test and expand upon published structural models or studies that include   food security. This study addresses each. We surveyed Beginner Freshmen, capturing eight non-cognitive measurements and ussing institutional data on performance and fall-to-fall  measures, we then tested the structure of Bowman et al.'s (Res High Educ 60:135-152, 2019) SEM model. In Model 1, we mimic the Bowman model's financial variable by only including financial stress. We confirm that Bowman is a good structural model of  , although our data were collected for another purpose, using different scales for non-cognitive elements and even one different non-cognitive measurement. We found s' non-cognitive attributes remain importantly influential to social adjustment (r = .65), commitment to persist (r = .40),  GPA (r = .25), and fall-to-fall  (r = .30). In Model 2, we generated a latent financial security variable incorporating financial stress and food security. Including food security generated a direct influence from the financial security variable to high-school GPA (r = .25), not found in the Bowman model or Model 1, and a direct significant relationship from financial security to social adjustment (r = .11)-not found in Model 1. Further changes are observed in the indirect relationship from financial security to  GPA from Model 1 (r = .29) to Model 2 (r = .51). We highlight the robustness of the Bowman model and that the inclusion of food security brings increased strength to several relationships without sacrificing optimal fit.",2020
"CABRERA, AF; NORA, A; CASTANEDA, MB",COLLEGE PERSISTENCE - STRUCTURAL EQUATIONS MODELING TEST OF AN INTEGRATED MODEL OF STUDENT RETENTION,JOURNAL OF HIGHER EDUCATION,,1993
"Tinto, Vincent",Through the Eyes of s,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"For years, our prevailing view of   has been shaped by theories that view   through the lens of institutional action and ask what  can do to retain their s. s, however, do not seek to be retained. They seek to persist. The two perspectives, though necessarily related, are not the same. Their interests are different. While the institution's interest is to increase the proportion of their s who graduate from the institution, the 's interest is to complete a degree often without regard to the institution in which it is earned. Although there has been much written from the former point of view, much less has been written from the latter. This  seeks to address this imbalance by laying out a conceptual model of  institutional  as seen through the eyes of s. Having done so, the  asks what such a model implies about institutional action to promote  .",2017
"Boateng, Kwasi; Plopper, Bruce L.; Keith, David M.",Shared Faculty- Lifestyle Habits and Their Implications for College  Retention,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"Previous research confirms that first-semester grade-point average (GPA) is related to   , , and graduation. Thus, it is important to identify factors related to enhancing first-semester GPA. In this study, researchers asked faculty and s in the disciplines of journalism, strategic communication or public relations, mass media production and design, motion picture or film, and mass media in general, to rate themselves on success-related lifestyle habits. s were grouped according to five GPA categories, and each GPA group's survey responses were compared with faculty survey responses and with every other GPA group's responses. Statistical analyses identified five highly differentiating lifestyle habits that separated both faculty and the highest GPA group from all other GPA groups. Because these five habits related so closely to -level GPAs, one major implication of the findings is that  could improve  by encouraging freshmen to develop these five critical lifestyle habits.",2016
"Ajayi, Alex A.; Mitchell, Lauren L.; Nelson, Sarah C.; Fish, Jillian; Peissig, Lovey H. M.; Causadias, Jose M.; Syed, Moin","Person-Environment Fit and Retention of Racially Minoritized College s: Recommendations for Faculty, Support Staff, and Administrators",EDUCATION SCIENCES,"Although s in the United States have become increasingly racially and ethnically diverse, degree attainment remains disproportionately low among s from underrepresented and minoritized racial backgrounds. In this paper, we discuss the interactive influence of both person and environment factors in shaping academic  and argue that  administrators, faculty, and  support staff can intervene and take specific steps to improve the academic experience of racially minoritized  s. To this end, we offer specific evidence-based recommendations for campus leaders and stakeholders on how to adapt their campus community to facilitate the requisite person-environment fit to maximize academic .",2021
"Glazer, Hilda R.; Murphy, John A.",Optimizing Success: A Model for Persistence in Online Education,AMERICAN JOURNAL OF DISTANCE EDUCATION,"The first-year experience for s enrolled in an online degree program, particularly the orientation and the first course experience, is critical to success and completion. The experience of one online  in improving  through enhancing orientation and the first academic course is presented. Factors impacting  are identified and the development of a  orientation seminar and the foundations for graduate study course are explored. The positive results of this first-year effort are presented along with implications for continued improvement and for distance .",2015
"ALLEN, D; NORA, A",AN EMPIRICAL-EXAMINATION OF THE CONSTRUCT-VALIDITY OF GOAL COMMITMENT IN THE PERSISTENCE PROCESS,RESEARCH IN HIGHER EDUCATION,"This study represents the first published investigation into the construct validity of goal commitment as it affects the  process. Confirmatory factor analyses revealed that goal commitment could be decomposed into multiple indicators of the same latent construct: a special factor called goal commitment that groups items related to goal importance, specificity of goals, and situational influence; a second factor represented by items indicating certainty of purpose; and a third factor consisting of items related to goals in general. The predictive validity of each subcomponent on different outcomes related to   was established. While goal commitment was found to have a significant direct effect an both s' intents to persist and actual  behavior, neither of the other two factors were as equally predictive as measures of  .",1995
