Title,Journal,Abstract
A Medical Decision Support System for the Prediction of the Coronary Artery Disease Using Fuzzy Cognitive Maps,"CREATIVITY IN INTELLIGENT TECHNOLOGIES AND DATA SCIENCE, (CIT&DS)","There is a lot discussion nowadays regarding the decision-making problem. The Making decisions and creating computational models using the tools of Fuzzy Cognitive Maps and Neural Systems is presented. The reason is that the contributing factors are several and complicated themselves. The medical problem of coronary artery disease (CAD) is considered and briefly presented. In medicine, factors such as age, symptoms, clinical tests all play their role and have their own importance when it comes to examine a patient, or to decide action. The development of a Medical Decision Support System (MDSS) using fuzzy cognitive maps (FCM) for the first time to study the coronary artery disease (CAD) is formulated. A number of physician experts were used in developing a FCM with thirty concepts. Medical data from a number of real cases were used and simulations were conducted. Interesting results were obtained and discussed. Future directions for this medical application are provided."
Teaching Medical Students About Health Systems Science and Osteopathic Principles and Practice Using a Virtual World: The Envision Community Health Center,JOURNAL OF THE AMERICAN OSTEOPATHIC ASSOCIATION,"Medical education technology initiatives can be used to prepare osteopathic medical students for modern primary care practice and to provide students with training to serve vulnerable populations. Over academic years 2014 through 2017, the authors designed and implemented 26 case studies using patient simulations through a virtual community health center (CHC). First-year students, who were preparing for clinical training in CHCs, and second-year students, who were training in CHCs, completed the simulation case studies, gaining practice in clinical reasoning, Health Systems Science, and applied osteopathic principles and practice. This article explains the project, illustrates an alignment with Health Systems Science and osteopathic competencies, and highlights findings from previous research studies."
The randomized placebo-phase design for clinical trials,JOURNAL OF CLINICAL EPIDEMIOLOGY,"Randomized controlled trials are the criterion standard method for evaluating the effectiveness of medical treatments. There are situations, however, where the possibility of being in the control group in a randomized controlled trial is unacceptable to potential subjects or their physicians. This lack of acceptance is a reason for poor accrual. We developed and validated a new clinical trial design for survival data that may allay concerns about not receiving an investigational product and should be more acceptable. Called the randomized placebo-phase design, this new design asks whether, on average, those subjects who begin active treatment sooner respond sooner than those who begin it later. Using Monte Carlo computer simulations, we demonstrated that the design is valid and may offer advantages over traditional randomized controlled trials in some situations. The randomized placebo-phase design may be especially useful when highly potent therapies for rare diseases are tested or when accrual may be otherwise difficult. (C) 2001 Elsevier Science Inc. All rights reserved."
The case for simulation as part of a comprehensive patient safety program,AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,"Simulation in obstetrics allows us to practice in a safe environment. Simulations can improve the performance of individuals and obstetric teams. The evidence is overwhelming that, with simulated practice, obstetricians improve their technical and communication skills. Evidence is emerging that simulation ultimately may improve clinical outcomes. It stands to reason that simulation in obstetrics should be incorporated into comprehensive patient safety programs."
THE IMPACT OF SIMULATION TRAINING PROGRAMS FOR COMMUNICATION SKILLS ON THE MOTIVATIONAL LEVELS OF THE STUDENTS IN NURSING,EDULEARN15: 7TH INTERNATIONAL CONFERENCE ON EDUCATION AND NEW LEARNING TECHNOLOGIES,"Communication is the foundation of nursing. Nursing is a profession based on knowledge and skills and for this reason effective communication is essential for a successful nursing process. The purpose of the comprehension/response process, concerning the nurses, is not to fix people as if you solved a problem, but to explore the mystery that is the other person. Communication requires an understanding of other people's background and this understanding can make the two people involved to overcome the limits imposed by the relationship between them and to establish a genuine dialogue. Through communication the uniqueness of the individual can be revealed. The student must be able to initiate, encourage and maintain proper communication with the patient in a clear manner, without any ambiguity. The students in the first year at the Fundeni Sanitary Post High School Bucharest, Romania have participated in this study. There were questionnaires applied to 80 students, as well as questionnaires concerning the level of satisfaction applied to the patients with which the students interacted in a real hospital environment. The participants were randomly divided into two groups and were given 60 hours of theory for the Professional Communication module and 60 hours of theory for the Administering medication module. The students in the target group did their clinical practice after the simulation of a training program in communication skills and received an immediate response to the questionnaire from patients, while the students in the control group did their clinical practice without participating in this program and received the answer to the questionnaire from the patients at the end of the clinical training. Conclusions: We should notice that the students who have benefited from the simulation program before the clinical stage, as well as from the immediate answer to the questionnaire from patients, have lower levels of anxiety, higher levels of self-efficacy, increased self-confidence, increased quality of care, and present some progress in educational communication and motivation. The study proved that the patient's immediate response had an important impact on student performance and stimulated them to learn. The data revealed that teamwork and satisfaction are positively influenced by the simulation programs in communication skills and have a major importance in the quality of education for nurses."
Connecting a simulated virtual patient program with experiential practicums: Perspectives from year three students,CURRENTS IN PHARMACY TEACHING AND LEARNING,"Background and purpose: Research indicates that the simulated learning tools known as virtual patients (VPs) are valued by pharmacy students and impact students' knowledge and confidence. However, research is needed to understand how students can be supported to make intended con-nections between VP cases and real-life clinical scenarios. The purpose of this study was to exam-ine whether and how VP cases influence students' clinical reasoning skills, confidence, thought processes, and preparedness for their experiential practicums. Educational activity and setting: Third-year entry-to-practice doctor of pharmacy students who had completed at least one VP case in second year prior to their experiential practicums were sur-veyed in fall 2018 after having completed their experiential practicums. Surveys were structured to solicit student perceptions related to how students bridged VP cases and real-life clinical scenarios and were analyzed using a mixed-methods design. Findings: Forty-three students completed the survey. Students perceived that VP cases most signif-icantly impacted their clinical reasoning skills due to the opportunity cases afforded them to ex-plore patient data and navigate relevant information. The largest limitation of VP cases to students' learning was that the cases differed from their experiences. Students' suggestions included opportunities for more practice using VP cases and an expanded repertoire of medical conditions offered through case exposure. Summary: More research is needed to understand how to help students connect VP cases to their experiential practicums to make them more effective learning tools. (C) 2020 Elsevier Inc. All rights reserved."
Interprofessional education and practice guide No. 9: Sustaining interprofessional simulation using change management principles,JOURNAL OF INTERPROFESSIONAL CARE,"Collaboration between teams is an essential component of patient safety in the complex ever-changing environment of healthcare. Collaborative practice requires training, which needs to start prior to registration for it to be established in the clinical workforce by graduation. Despite the perceived value and motivation of course coordinators, interprofessional training programs often struggle to sustain, due to various reasons related to logistics of timetabling, staff availability and/or absence of institutional support. We present a guide, outlining the lessons learned from implementing a sustainable change from our 6-year experience of the Women's Health Interprofessional Learning through Simulation (WHIPLS) program. The WHIPLS program was initially piloted to teach clinical skills in an interprofessional environment for pre-registration medical and midwifery students and has become a core component of the clinical curriculum. We describe the steps that were required to attain this outcome using the Kotter's 8-step plan for management change. The key lessons learned were identifying overlaps in course curriculum, planning for leadership and implementation, creating institutional buy-in, aligning with national goals, focusing on the learner, translating into routine clinical practice, keeping the program simple, accepting innovation and considering a strategic evaluation."
Development and Pilot of Case Manager: A Virtual-Patient Experience for Veterinary Students,JOURNAL OF VETERINARY MEDICAL EDUCATION,"There is an increasing demand in veterinary education to engage students, teach and reinforce clinical reasoning, and provide access anytime/anywhere to quality learning opportunities. In addition, accrediting bodies are asking for more concrete documentation of essential clinical-skills outcomes. Unfortunately, during the clinical year in a referral hospital setting, students are at the mercy of chance regarding the types of cases they will encounter and the opportunities they will have to participate. Patient- and case-simulation technology is becoming more popular as a way to achieve these objectives in human and veterinary medical education. Many of the current options available to the veterinary medical education community to develop virtual-patient cases are too time-consuming, cost prohibitive, or difficult for the instructor or learner to use. In response, we developed a learning tool, Case Manager, which is low-cost and user-friendly. Case Manager was designed to meet the demands of veterinary education by providing students with an opportunity to cultivate clinical reasoning skills and allowing for real-time student feedback. We launched a pilot test with 37 senior veterinary medical students as part of their Small Animal Internal Medicine clinical rotation. Students reported that Case Manager increased their engagement with the material, improved diagnostic and problem-solving skills, and broadened their exposure to a variety of cases. In addition, students felt that Case Manager was superior to a more traditional, less interactive case presentation format."
Automatic Keyword Extraction from Medical and Healthcare Curriculum,PROCEEDINGS OF THE 2016 FEDERATED CONFERENCE ON COMPUTER SCIENCE AND INFORMATION SYSTEMS (FEDCSIS),"Medical and healthcare study programmes are quite complicated in terms of branched structure and heterogeneous content. In logical sequence a lot of requirements and demands placed on students appear there. This paper focuses on an innovative way how to discover and understand complex curricula using modern information and communication technologies. We introduce an algorithm for curriculum metadata automatic processing-automatic keyword extraction based on unsupervised approaches, and we demonstrate a real application during a process of innovation and optimization of medical education. The outputs of our pilot analysis represent systematic description of medical curriculum by three different approaches (centrality measures) used for relevant keywords extraction. Further evaluation by senior curriculum designers and guarantors is required to obtain an objective benchmark."
Midwifery students' satisfaction with perinatal simulation-based training,WOMEN AND BIRTH,"Background: Simulation-based training has proved to be an effective teaching and learning approach in healthcare. Nevertheless, any assessment of its effectiveness should also take the students' perspective into account. Aim: To validate the Satisfaction with Simulation Experience Scale (SSES) for use with midwifery students and evaluate midwifery students' satisfaction with perinatal simulation-based training. Methods: Satisfaction with simulation was assessed using the SSES, a measurement tool translated from English to Dutch. Data was collected in four consecutive years (2016-19). A mixed methods design was used to capture both qualitative and quantitative data. Using the quantitative data, factor analysis was performed to assess the construct validity, while Cronbach's alpha was used to assess internal consistency. Qualitative data was assessed using thematic content analysis. Findings: 367 SSES questionnaires were completed by 251 students. The exploratory factor analysis resulted in a three-factor model covering debriefing and reflection, clinical reasoning and clinical learning. Cronbach's alpha showed good internal consistency. Students were very satisfied with perinatal simulation-based training for all three factors: 4.30 (SD = 0.47) for debriefing and reflection, 3.97 (SD = 0.55) for clinical reasoning and 4.10 (SD = 0.46) for clinical learning. Satisfaction scores remained high and stable over the years investigated. Thematic content analysis identified 6 categories: simulation-based training is valuable, the need for more simulation-based training, fidelity, students, negative feelings, and preparation is vital. Conclusion: Students were satisfied with the simulation-based training, experiencing it as providing added value to their education. Simulations gave them the opportunity to make and learn from mistakes in a safe learning environment. (c) 2020 Australian College of Midwives. Published by Elsevier Ltd. All rights reserved."
Neurocritical Care Unit Bed Allocation: Optimization Based on Prioritization Using Simulation,ARCHIVES OF NEUROSCIENCE,"Background: Neurological trauma and diseases are the second cause of mortality and the main reason of acquired disability. Neurocritical care plays a major role in treating such patients. A longer life expectancy, treatment of incurable diseases, and limited resources available to add to hospital beds necessitates engineering the knowledge of health systems to prioritize allocation of current resources and present a proper pattern. Objectives: The current study aimed at optimizing bed use and shortening the length of patients' hospitalization in neurocritical care unit (NCCU) of Loghman Hakim hospital affiliated to Shahid Beheshti University of Medical Sciences, Tehran, Iran, and completely stimulating the procedure of bed allocation and prioritization of patients. Methods: Data of 420 patients hospitalized in NCCU was gathered and the procedure of bed allocation simulation was performed considering the priorities defined based on the length of hospitalization and patients' chance of survival. The PROMETHEE (preference ranking organization method for enrichment evaluation) method was used to prioritize and allocate beds. To study the consequences of the suggested method, event discrete simulation tool was used to compare the current status and the results of the new method for 20 periods each including one month data. Results: The mean number of patients admitted to NCCU during one month without any prioritization was 76, while it increased to 86 based on prioritization. Conclusions: Patients' simulation and prioritization using the PROMETHEE method resulted in 13% rise in the number of patients admitted to NCCU and higher utilization of this ward."
"Contrast-enhancement, image noise and dual-energy simulations for quantum-counting clinical CT",MEDICAL IMAGING 2010: PHYSICS OF MEDICAL IMAGING,The spectral sensitivity of quantum-counting detectors promises increased contrast-to-noise ratios and dual-energy capabilities for Computed Tomography (CT). In this article we quantify the benefits as well as the conceptual limitations of this technology under realistic clinical conditions. We present detailed simulations of a CT system with CdZnTe-based quantum-counting detector and compare to a conventional energy-integrating detector with Gd2O2S scintillator. Detector geometries and pixel layouts are adapted to specific requirements of clinical CT and its high-flux environment. The counting detector is realized as a two-threshold counter. An image-based method is used to adapt thresholds and data weights optimizing contrasts and image noise with respect to the typical spectra provided by modern high-power tungsten anode X-ray tubes. We consider the case of moderate X-ray fluxes and compare contrasts and image noise at same patient dose and image sharpness. We find that the spectral sensitivity of such a CT system offers dose reduction potentials of 31.5% (9.2%) maintaining Iodine-water contrast-to-noise ratios at 120kVp (80kVp). The improved contrast-to-noise ratios result mainly from improved contrasts and not from reduced image noise. The presence of fluorescence effects in the sensor material is the reason why image noise levels are not significantly reduced in comparison to energy-integrating systems. Dual-energy performance of quantum-counting single-source CT in terms of bone-Iodine separation is found to be somewhat below the level of today's dual-source CT devices with optimized pre-filtration of the X-ray beams.
Framework of Computer-Assisted Instruction and Clinical Decision Support System for Orthodontics with Case-Based Reasoning,"MEDICAL BIOMETRICS, PROCEEDINGS","Malocclusion is a very common oral disease. People with malocclusion often appeal to orthodontics for treatment. Since the treatment of orthodontics often takes several years, simulation and animation with 3D visual effect provides a good communication vehicle between patients and dentists before the treatment. In this paper, we developed a framework of CAI (computer assisted instruction) system with case-based reasoning for orthodontics. The system collects a lot of past cases of orthodontic and makes a 3D animation for each case, which simulates the moving and morphing from the pre- to the post-treatment. When a dentist encounters a new case, a past case will be selected based on the distance between the new case and the past one. A 3D animation of this most similar case will also be displayed. The system also incorporated pathological rules used for classifying the cases with different symptoms. Based on the rules, the search space for the similar cases can be reduced."
Process modelling and simulation for managing clinical care in the community,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,"'Care in the Community' is an easy catch phrase but a difficult goal It is a phrase that addresses a current growth area within health can? and one that comes complete with an impressive awry of political economic and social factors that would seem to support the notion of a continuing trend. Technology, specifically a information systems, however, has not been successfully cast in a supporting tale. There are marry reasons for this lack of success bust a major one is the mismatch between the understanding of what is required to support the clinical cam processes and the specifications of the current systems supplied[1]. Specifically the interest here is in the use and assessment of two computer science techniques i.e. process modelling and simulation, as suitable means of capturing and communicating requirements so as to bridge the divide and power differential between users and developers of information systems."
Nurse Practitioner Student Perceptions of Face-to-Face and Telehealth Standardized Patient Simulations,JOURNAL OF NURSING REGULATION,"Background: Telehealth standardized patient (SP) simulations offer a means of enhancing clinical education by providing nurse practitioner (NP) students with increased opportunities to interact with patients and develop a range of clinical skills, including conducting a telehealth visit, under the guidance of experienced faculty. Objective: Building on prior research comparing diagnostic reasoning outcomes in telehealth and face-to-face SP simulations, this study explored students' perceptions of the learning experience after participating in SP encounters using both modalities. Methods: Eighteen of the 41 students from the prior study participated in structured interviews. Guided by the tenets of a qualitative descriptive design, verbatim transcripts were analyzed using a thematic analysis process. Results: Three overarching themes were revealed: adapting practice strategies for telehealth encounters, inexperience with telehealth in education and practice, and the value of SP simulation for NP competency development. Lack of physical presence with the patient in the telehealth SP simulation and the need to rely on a nurse clinical presenter to conduct the physical examination affected the way students perceived and proceeded with the clinical encounter. Students' lack of familiarity and comfort with the telehealth SP simulation suggests the need for additional training to prepare them for this learning and care modality. Participants valued the opportunity to practice both clinical and telehealth skills, underscoring the importance of formative SP simulation in preparing NP students for successful transition to clinical practice. Conclusion: Our findings provide new evidence to guide nurse educators and regulators in considering this innovative teaching and learning modality to expand the use of simulation, augment clinical experiences, and better prepare future NPs for safe, effective practice in a technology-enabled healthcare system."
An integrative OSCE methodology for enhancing the traditional OSCE program at Taipei medical university ospital - a feasibility study,BMC MEDICAL EDUCATION,"Background: Continuous development and use of new technologies and methodologies are key features in improving the learning, performance, and skills of medical students and students of all health care professions. Although significant improvements in teaching methodologies have been made in all areas of medicine and health care, studies reveal that students in many areas of health care taking an objective structured clinical examination (OSCE) express difficulties. Thus, this study was planned as a feasibility study to assess the educational effectiveness of an integrated objective structured clinical examination (iOSCE) using both standardized patients and virtual patients. Methods: Thirty (30) medical students in their first year of internship at Taipei Medical University volunteered to be part of a feasibility study for demonstrating the concept of iOSCE. They divided themselves into five groups of six students each and were requested to evaluate two cases: 1) a patient with abdominal pain and 2) a patient with headache using a combination of a standardized patient and a virtual patient. For each of the two cases, five stations were designed in which students were given ten minutes per station leading to a final diagnosis and concluded with a debriefing. The five stations were: Station 1) Interacting with the standardized patient. Station 2) Writing the patient note and developing a differential diagnosis. Station 3) Selecting appropriate laboratory and imaging studies. Station 4) Making a final diagnosis and stating the evidence for it. Station 5) Having the debriefing. Each group of 6 students was assigned 2 hours per day for each case. All participants completed a survey regarding the usefulness and efficiency of the iOSCE. Results: All medical students (30/30; 100%) found the iOSCE program to be very satisfactory, and all expressed that they would like to have further iOSCE experiences if given the opportunity. In terms of ease and helpfulness, the students rated the program an average of 4.4 for the 1st case (abdominal pain) and 4.5 for the 2nd case (headache) on a scale of 1-5, with 5 being the highest and 1 being the lowest score. Conclusions: The participants felt that the iOSCE program can offer certain advantages over the traditional OSCE with the SP alone. They cited that the iOSCE provided improved clarity of what was being assessed as well as providing an opportunity to improve their diagnostic reasoning."
An overview of and approach to selecting appropriate patient representations in teaching and summative assessment in medical education,SWISS MEDICAL WEEKLY,"Medical education has a long tradition of using various patient representations in teaching and assessment. With this literature review we aim, first, to provide an overview of the most important patient representations used to teach and assess clinical skills, considering in particular summative exams that have a pass or fail outcome; second, to provide arguments for choosing certain patient representations; and third, to show the advantages and limitations of different patient representations, especially simulated patients (SPs) and real patients (RPs). Typical patient representations include case narratives, anatomical models, simulators and mannequins, as well as SPs and RPs. The literature indicates that there are multiple ways of using various patient representations in teaching and that the intended didactical purpose informs the choice of representation. Early in the educational programme, even low-fidelity patient representations can be a good fit for assessment purposes if chosen to match the educational level. The use of RPs in summative, high-stakes assessments (exams with particularly important consequences for the examinee) is limited for methodological and ethical reasons. The methodological implementation of summative exams also entails specific challenges, such as ensuring measurement reliability and fairness towards the examinees. Carefully prepared, SPs can perform their roles with a sufficient degree of authenticity, making summative exams more manageable, and imposing no strain or risk on RPs. The ongoing debate concerning the use of SPs and RPs in summative assessment highlights perceived limitations of SPs in relation to RPs that are often not supported by research. Evidence shows that SPs, in combination with additional simulation modalities as needed, represent the first choice for summative clinical assessment. We also consider the strengths and limitations of this review and reflect on the applicability of our findings. We conclude that in order to select the right patient representations in clinical teaching and/or assessment, a number of perspectives must be considered: (i) the learning goals, aligned with the stage of study, (ii) the corresponding requirements of the clinical task itself (e.g., performing a phlebotomy or a communication task), (iii) the level of authenticity required and (iv) the resources needed, taking patient safety and feasibility into consideration."
USAGE OF MODELLING AND SIMULATION IN MEDICINE AND PHARMACY,ZDRAVNISKI VESTNIK-SLOVENIAN MEDICAL JOURNAL,"Background Modelling and simulation have become established methodology in explanation, analysis and prediction of systems operation and can therefore be met practically in all scientific disciplines including medicine and pharmacy. In spite of the fact that even in these two areas the nature of problems can differ drastically, developed methodology enables the usage of similar and systematically organised design techniques, where the cooperation with problem experts is of crucial importance. Conclusions In the paper some aspects regarding modelling and simulation in medicine and pharmacy are described. First in the introduction the basic terminology and reasons for using modelling and simulation as problem - solving techniques are given. Further, the main methodologies, including cyclic modelling activities, approaches in model construction and model representations are presented. The section is ending with experimental part of model solving, where the main attention is devoted to the continuous simulation. Presented ideas are illustrated through several simple and comprehensible examples which can frequently be met in the field of medicine and pharmacy. At the end also one more complex problem is introduced where predictive capabilities of modelling were illustrated for the study of influence of obesity to five different diseases, where also existing cross-couplings were taken into account. Modelling results have enabled economic evaluation of obesity treatment and the prediction of needed hospitalization and expenses regarding the absence from the work. Modelling and simulation can also in medicine and pharmacy explain and throw light upon complex clinical and therapeutic circumstances which can not be obtained from the clinical and experimental research data."
Emerging paradigms of cognition in medical decision-making,JOURNAL OF BIOMEDICAL INFORMATICS,"The limitations of the classical or traditional paradigm of decision research are increasingly apparent, even though there has been a substantial body of empirical research on medical decision-making over the past 40 years. As decision-support technology continues to proliferate in medical settings, it is imperative that basic science decision research develop a broader-based and more valid foundation for the study of medical decision-making as it occurs in the natural setting. This paper critically reviews both traditional and recent approaches to medical decision making, considering the integration of problem-solving and decision-making research paradigms, the role of conceptual knowledge in decision-making, and the emerging paradigm of naturalistic decision-making. We also provide an examination of technology-mediated decision-making. Expanding the scope of decision research will better enable us to understand optimal decision processes, suitable coping mechanisms under suboptimal conditions, the development of expertise in decision-making, and ways in which decision-support technology can successfully mediate decision processes. (C) 2002 Elsevier Science (USA). All rights reserved."
"The randomized placebo-phase design for clinical trials, (Reprinted from Journal of Clinical Epidemiology, vol 54, pg 550-557, 2001)",PHYSICAL THERAPY IN SPORT,"Randomized controlled trials (RCTs) are the criterion standard method for evaluating the effectiveness of medical treatments. There are situations, however, where the possibility of being in the control group in a RCT is unacceptable to potential subjects or their physicians. This lack of acceptance is a reason for poor accrual. We developed and validated a new clinical trial design for survival data that may allay concerns about not receiving an investigational product and should be more acceptable. Called the randomized placebo-phase design (RPPD), this new design asks whether, on average, those subjects who begin active treatment sooner respond sooner than those who begin it later. Using Monte Carlo computer simulations, we demonstrated that the design is valid and may offer advantages over traditional RCTs in some situations. The RPPD may be especially useful when highly potent. therapies for rare diseases are tested or when accrual may be otherwise difficult. (C) 2003 Elsevier Ltd. All rights reserved."
Advance Care Planning Norms May Contribute to Hospital Variation in End-of-Life ICU Use: A Simulation Study,MEDICAL DECISION MAKING,"Background. There is wide variation in end-of-life (EOL) intensive care unit (ICU) use among academic medical centers (AMCs). Our objective was to develop hypotheses regarding medical decision-making factors underlying this variation. Methods. This was a high-fidelity simulation experiment involving a critically and terminally ill elder, followed by a survey and debriefing cognitive interview and evaluated using triangulated quantitative-qualitative comparative analysis. The study was conducted in 2 AMCs in the same state and health care system with disparate EOL ICU use. Subjects were hospital-based physicians responsible for ICU admission decisions. Measurements included treatment plan, prognosis, diagnosis, qualitative case perceptions, and clinical reasoning. Results. Sixty-seven of 111 (60%) eligible physicians agreed to participate; 48 (72%) could be scheduled. There were no significant between-AMC differences in 3-month prognosis or treatment plan, but there were systematic differences in perceptions of the case. Case perceptions at the low-intensity AMC seemed to be influenced by the absence of a do-not-resuscitate order in the context of norms of universal code status discussion and documentation upon admission, whereas case perceptions at the high-intensity AMC seemed to be influenced by the patient's known metastatic gastric cancer in the context of norms of oncologists' avoiding code status discussions. Conclusions: In this simulation study of 2 AMCs, hospital-based physicians had different perceptions of an identical case. We hypothesize that different advance care planning norms may have influenced their decision-making heuristics."
"Complex clinical reasoning in the critical care - unit difficulties, pitfalls and adaptive strategies",INTERNATIONAL JOURNAL OF CLINICAL PRACTICE,"Diagnostic error has implications for both clinical outcome and resource utilisation, and may often be traced to impaired data gathering, processing or synthesis because of the influence of cognitive bias. Factors inherent to the intensive/acute care environment afford multiple additional opportunities for such errors to occur. This article illustrates many of these with reference to a case encountered on our intensive care unit. Strategies to improve completeness of data gathering, processing and synthesis in the acute care environment are critically appraised in the context of early detection and amelioration of cognitive bias. These include reflection, targeted simulation training and the integration of social media and IT based aids in complex diagnostic processes. A framework which can be quickly and easily employed in a variety of clinical environments is then presented."
National Board of Medical Examiners and Curriculum Change: What Do Scores Tell Us? A Case Study at the University of Balamand Medical School,JOURNAL OF MEDICAL EDUCATION AND CURRICULAR DEVELOPMENT,"Objectives: This study describes the results of NBME (National Board of Medical Examiners) implementation in Balamand Medical School (BMS) from 2015 to 2019, after major curricular changes were introduced as of 2012. BMS students' performance was compared with the international USMLE step 1 (United States Medical Licensing Examination, herein referred to as step 1) cohorts' performances. The BMS students' NBME results were analyzed over the successive academic years to assess the impact of the serial curricular changes that were implemented. Methods: This longitudinal study describes the performance of BMS preclinical second year medicine (Med II) students on all their NBME exams over 4 academic years starting 2015-2016 to 2018-2019. These scores were compared with the step 1 comparison group scores using item difficulty. Thettest was computed for each of the NBME exams to check whether the scores' differences were significant. Results: Results revealed that all BMS cohorts scored lower than the international USMLE step 1 comparison cohorts in all disciplines across the 4 academic years except Psychiatry. However, the results were progressively approaching step 1 results, and the difference between step 1 scores and BMS students' NBME scores became closer and not significant as of year 4. Conclusions: The results of the study are promising. They show that the serial curricular changes enabled BMS Med II students' scores to reach the international cohorts' scores after 4 academic years. Moreover, the absence of statistical difference between cohort 4 scores and step 1 cohorts is not module dependent and applies to all clinical modules. Further studies should be conducted to assess whether the results obtained for cohort 4 can be maintained."
Daily nurse requirements planning based on simulation of patient flows,FLEXIBLE SERVICES AND MANUFACTURING JOURNAL,"Nurses account for approximately 50 % of total hospital budgets and their allocation to medical units and shifts can significantly affect the quality of care provided to patients. The adoption of flexible shift schedules and the assessment of actual nursing time can enable sensible resource planning, balancing the quality of care with efficiency in resource use. Starting from the concept that nurse requirements are triggered by patient needs, which are stochastic in nature both for clinical activities and their duration, this paper proposes an innovative Nurse Requirement Planning model grounded on the concept of the clinical pathway (the standard sequence of diagnostic, therapeutic and care activities a patient with certain pathology should undertake over time) with its inner routing probability and patient dependence on nurses, which can be correlated to the time needed to perform nursing tasks. In merging and modelling these two aspects, the method summarizes the best features of acuity-quality and timed-task/activity techniques, well known although not usually applied for reasons of demands on clinicians' time. Instead, in this paper, for each shift of the day, hospital management is enabled to choose the optimal number of nurses to meet actual requirements according to a desired service level and personnel saturation by means of a tool that simulates the patient flow in a medical unit based on automatic data retrieval from hospital databases. The validation and verification of the proposal were undertaken in a stroke unit."
Simulation and dissimulation of madness in the 19th century asylum,EVOLUTION PSYCHIATRIQUE,"Objectives. - This study explores two borderline forms of alienation simulation and dissimulation of insanity in the asylums of the 19th century. The issues raised are related to their historical setting, where the alienist profession was forming and entering into debate with the legal sphere. At the start of the 19th century, magistrates were disputing the authority of medical experts to assess penal responsibility. In the second half of the 19th century, the debate revolved around the issue of arbitrary internment, casting doubt on both the methods and the expert knowledge of alienists. Methods. - This study is based on an analysis of textual sources devoted directly or indirectly to alienist science and legal expertise in the second half of the 19th century. Some are polemic articles evidencing the tensions between the two professions. Numerous medical authors published writings, in particular in Delasiauve's Journal de Medecine Mentale, which was an essential vehicle in the debate for some ten years. Results. - The study of borderline or peripheral forms of mental illness led alienists to consolidate their diagnostic criteria, and also to seek to convince their partners in the public authorities. There was a need to proclaim specific knowledge making it possible to assess whether or not there was alienation, on the basis of common criteria. They concluded that simulated madness was not genuine madness, either because the simulator confuses madness and stupidity, or because the simulator invents an atypical behaviour that does not resemble any mental illness. Following on from Pinel's partial delirium and Esquirol's monomania, lucid madness according to Ulysse Treat refers to a type of alienated subject in whom delirium coexists with preserved reasoning faculties. This debate shows how nosography can constitute a response to social accusations aimed at the alienist corporation by magistrates and journalists. Discussion. - It is the debate between two different conceptions of madness that was reappraised in the course of this controversy between legal and medical authorities the holistic conception of Maine de Biran, for whom no faculty of the alienated subject escapes alienation, and the partial conception propounded by Royer-Collard, where alienation is never total. Conclusion. - All madness is partial. It is on the basis of this axiom, which emerged at the time of the French Revolution, that the alienist science of the 19th century was constructed. This is the necessary condition for any treatment to be able to act. This preservation of reasoning faculties can also serve to deceive and alienists and magistrates alike learn this to their cost. But if madness can be simulated or dissimulated, it is because its codes can be parodied and reoriented. The semiology of mental illnesses is not that of bodily medicine, which bases its semiology on an anatomical, clinical lesion. Because the semiology is mental, it can only be vouched for by the Other. This aspect of the exercise of medicine in the area of mental illness requires alienists to obtain strong social consensus on their actions. Thus alienists have come to defend a conception of their profession that is based on both knowledge on the subject of alienation, and on know-how and life skills in dealing with alienated people. (C) 2015 Elsevier Masson SAS. All rights reserved."
Fielding incognito standardised patients as 'known' patients in a controlled trial in general practice,MEDICAL EDUCATION,"BACKGROUND Incognito standardised patients (SPs) have only been used to represent new patients so far. The few trials with incognito SPs provide little detail on the method used for fielding them. OBJECTIVE To establish the feasibility of introducing SPs as 'known' patients (i.e. patients who have previously Visited the practice) into practices, to indicate the required practice preparations, and to describe the Various aspects of using SPs in a pretest/post-test design. METHODS We used incognito SPs as known patients in a controlled trial to assess the practice behaviour of 49 trainees. The SPs received a 2-day training in role playing and completing checklists. We compiled comprehensive practice information folders of each practice to be Visited. Real personal data and faked medical data of SPs were inserted in the filing system of each practice to be Visited. Apart from SP roles with slightly different reasons-for-en counter and different SPs, the same training protocol, checklists and practice information folders were used in the post-test. RESULTS The SPs carried out 287 visits in 50 practices. All practices prepared the patient records for the SP visits in a fairly authentic practice style. Trainees detected the SP in 74 visits. The main reasons for detection were imperfections in patient records and aspects of SP roles or role playing. CONCLUSION Fielding incognito SP visits as known patients was feasible but labour-intensive. Preparing the SP patient records and familiarising SPs with the interior of practices represented new elements in the use of SPs. The pretest/post-test format made their use more efficient instead of complicating it."
